station,x,y
Airport Terminal 1,26,8
Airport Terminal 2,27,9
Airport Terminal 3,28,10
Airport West,25,7
Angel Pass,9,5
Ashlan Park,22,8
Aslockby,19,3
Barton,13,6
Beaulieu Park,20,7
Beechley,3,7
Benton,16,6
Benton Bridge,18,5
Berrily,17,8
Bodin,11,5
Cambridge Street Parkway,19,8
Carnalea Bridge,18,2
City Hospital,4,7
Connolly,21,8
Coxly,14,5
Coxly Newtown,15,4
East Berrily,20,8
Eden Quay,24,9
Edgemead,9,3
Elsemere Junction,17,7
Elsemere Pond,13,7
Esterfield,23,6
Faraday Road,24,9
Farleigh,28,5
Faymere,11,3
Financial Quarter,2,7
Four Ways,7,7
Greenslade,17,4
Hampton Hargate,24,4
Hemdon Park,3,4
Houghton Rake,5,4
James Street,27,6
Leighton City,10,2
Leighton Stepford Road,12,2
Leighton West,8,1
Llyn-by-the-Sea,2,1
Millcastle,7,2
Millcastle Racecourse,9,2
Morganstown,18,4
Morganstown Docks,19,4
New Harrow,13,7
Newry,25,9
Newry Harbour,26,10
Northshore,4,1
Port Benton,15,5
Rayleigh Bay,16,2
Rocket Parade,26,3
Rosedale Village,23,5
St Helens Bridge,12,7
Starryloch,5,1
Stepford Airport Central,23,8
Stepford Airport Parkway,21,7
Stepford Central,7,7
Stepford East,11,7
Stepford High Street,9,7
Stepford United Football Club,6,7
Stepford Victoria,1,7
Upper Staploe,25,4
Water Newton,22,4
West Benton,23,9
Westercoast,8,2
Westwyvern,6,1
Whitefield,5,4
Whitefield Lido,7,5
Whitney Green,16,4
Willowfield,2,4
Woodhead Lane,6,4
