
route_code,operator,start,end,length_miles,duration_minutes,route_type,headcode,price_points,points_earned,points_per_minute,experience_earned,experience_per_minute,route_map,route_description,history,trivia,length_miles_km,xp_earned,xp_per_minute,description
R051,AirLink,Stepford Central,Stepford Airport Central,7.16,8,Speed Link,1Sxx / 1Axx,450,15,1.88,2.0,0.25,True,"R051 is an express AirLink route that runs non-stop from Stepford Central to Stepford Airport Central. The route is 7.16 miles (11.5 km) long and takes about 8 minutes to complete, costing 450 points.","Introduced on 31 December 2018 (Version 1.1) as a non-stop express between Stepford Central and Stepford Airport Central with headcode 9Sxx/9Axx, it was initially free. Route type categorisation in June 2020 classified it as an Express Link and by Version 1.10 (2022) it became a Speed Link. In Version 2.2 (2025) the headcode changed to 1Sxx/1Axx.",One of the first AirLink routes introduced in 2018 and the first non-stop route; it is the longest route with only two stops. High-speed Class 397 and Class 802 trains often work it. Drivers used to arrive early due to minimal stopping and had long wait times before updates reduced the schedule.,,,,
R052,AirLink,Stepford Central,Airport Terminal 2,8.34,10,Terminal 1 & 2 Link,1Sxx / 1Xxx,0,25,1.92,4.0,0.31,True,"R052 is an express AirLink route running non-stop from Stepford Central to Stepford Airport Central, then calling at Airport Terminal 1 and Airport Terminal 2. It spans 8.34 miles (13.42 km) and takes around 10 minutes to complete. This route is free when you first purchase an AirLink train.","Added on 31 December 2018 (Version 1.1) as Stepford Central <> Airport Terminals (E) with headcode 9Sxx/9Xxx and free to drive. In Version 1.1.9 (February 2019), trains finally began operating after the terminals opened. Route categorisation in June 2020 labelled it a Terminal Loop Link, which was updated to Terminal 1 & 2 Link in Version 1.10 (2022). In Version 2.2 (2025) the headcode became 1Sxx/1Xxx.","One of the first AirLink routes opened on 31 December 2018, but service didn’t start until February 2019 because the airport terminals weren’t open. Eastbound services stop at Airport Terminal 1 but westbound services pass through since the station is unidirectional. Players unlock this route for free with their first AirLink train. The distance between Terminals 1 and 2 is slightly misreported due to how the game measures track distance, causing unusual mileage on this route.",,,,
R053,AirLink,Stepford Central,Airport Terminal 2,8.34,14,Terminal 1 & 2 Link,1Sxx / 1Xxx,0,40,2.5,7.0,0.44,True,R053 is a stopping AirLink route from Stepford Central to Airport Terminal 2 via Airport Terminal 1. It covers 8.34 miles (13.4 km) and takes about 14 minutes. It’s free to drive and is unlocked when you purchase your first AirLink train.,"Introduced on 31 December 2018 (Version 1.1) as a stopping service between Stepford Central and Stepford Airport Central (S2) with headcode 1Sxx/1Axx and no cost. In Version 1.1.9 (February 2019) the route was extended to call at the airport terminals. Route categorisation in June 2020 defined it as a Terminal Loop Link, updated to Terminal 1 & 2 Link in Version 1.10 (2022).","R053 has the most stops of any AirLink route—seven eastbound. Before the terminals opened, it terminated at Stepford Airport Central and was known as the second stopping service. Eastbound trains call at Airport Terminal 1 but westbound trains bypass it because of the unidirectional platform. Like R052, the distance measurement between Terminals 1 and 2 is quirky, and the route remains free. It is also the only AirLink route that stops at both Elsemere Junction and Morganstown.",,,,
R054,AirLink,Stepford Central,Stepford Airport Central,7.16,10,Speed Link,1Sxx / 1Axx,0,30,2.73,5.0,0.45,True,"R054 is a stopping AirLink service between Stepford Central and Stepford Airport Central. It runs over 7.16 miles (11.5 km), takes about 10 minutes and is free to drive.","Added on 31 December 2018 (Version 1.1) as Stepford Central <> Stepford Airport Central (S1) with headcode 1Sxx/1Axx and no cost. Introduced route categorisation in June 2020 labelled it an Express Link, which changed to Speed Link in Version 1.10 (2022).","Eastbound services stop at Berrily, but westbound services skip it because there is no westbound platform. Before the terminals opened, it was the first stopping service to terminate at Stepford Airport Central. Players receive this route for free when they buy an AirLink train. It has three more stops than its express counterpart R051 and is the only AirLink route to stop at Berrily.",,,,
R055,AirLink,Stepford Central,Airport Terminal 3,8.73,15,Terminal 2 & 3 Link,1Sxx / 1Zxx,450,35,2.19,6.0,0.38,True,R055 is an AirLink route from Stepford Central to Airport Terminal 3 via Airport Terminal 2. The route covers 8.73 miles (14.05 km) and takes about 15 minutes. It costs 450 points to drive.,R055 was introduced on 2 February 2019 (Version 1.1.10) as Stepford Central <> Airport Terminal 3 via Airport Terminal 2 with headcode 1Sxx/1Zxx and a cost of 450 points. Route categorisation in June 2020 defined it as a Terminal Loop Link; in 2022 (Version 1.10) it became a Terminal 2 & 3 Link with new spawn points.,"Before the Five Million Update, the timing between Stepford East and Stepford Airport Parkway was 3 minutes, causing drivers to be two minutes late; this was later fixed. R055 and R059 are the only AirLink routes to terminate at an airport terminal and still call at Stepford Airport Parkway. It’s also the longest AirLink route by length.",,,,
R056,AirLink,Stepford Airport Central,Leighton Stepford Road,4.61,7,Leighton Link,1Axx / 1Rxx,300,20,2.5,3.0,0.38,True,R056 is an AirLink Leighton Link route running from Stepford Airport Central to Leighton Stepford Road. It spans 4.61 miles (7.42 km) and takes roughly 7 minutes. The fare is 300 points.,"Added on 16 September 2019 (Five Million Update) with headcode 9Axx/9Lxx as Stepford Airport Central <> Leighton Stepford Road. It initially cost 300 points. Route categorisation in June 2020 labelled it a Leighton Link. In Version 1.10 (2022) the route began stopping at Stepford Airport Parkway and the headcode changed to 1Axx/1Rxx, with a new spawn point at Farleigh Depot.",One of two routes terminating at Leighton Stepford Road (the other is R057). High-speed bi-mode Class 397 and Class 802 trains often operate it. The route now stops at Stepford Airport Parkway after update V1.10.,,,,
R057,AirLink,Airport Terminal 3,Leighton Stepford Road,6.18,14,Leighton Link,1Zxx / 1Rxx,450,30,2.14,5.0,0.36,True,R057 is an AirLink Leighton Link route from Airport Terminal 3 to Leighton Stepford Road via Airport Terminal 2. It covers 6.18 miles (9.95 km) and takes about 14 minutes. The route costs 450 points.,R057 was added on 16 September 2019 (Five Million Update) as Airport Terminal 3 <> Leighton Stepford Road via Airport Terminal 2 with headcode 9Zxx/9Lxx and cost 450 points. Route categorisation in June 2020 defined it as a Leighton Link. Later updates adjusted spawn points and headcodes; in Version 2.0 (2024) the route started stopping at Water Newton.,"Unique as it terminates at Leighton Stepford Road and stops at Water Newton — the only route in the game to serve that station without calling at Benton or Leighton City. Eastbound trains stop at Airport Terminal 2 and Stepford Airport Central, but the route skips Stepford Airport Parkway to avoid duplicating R056. Fast Class 397 and Class 802 trains are common on this route.",,,,
R058,AirLink,Stepford Central,Airport Terminal 3,,approx. 13 minutes,Terminal Loop Link,1Sxx / 1Zxx,450,35,2.69,,,True,,"Introduced on 27 August 2022. Headcode 1Sxx/1Zxx. Route type Terminal Loop Link. Cost 450 Points. Spawn points Stepford Depot (A), Airport Parkway Depot, Airport Parkway Siding, Farleigh Depot (Road 17). Calls at Stepford Central, St Helens Bridge, Morganstown, Stepford Airport Central, Airport Terminal 1 (eastbound)/Airport Terminal 2 (westbound) and Airport Terminal 3https://scr.fandom.com/wiki/List_of_Routes/R058#:~:text=History. All AirLink trains except Class 345 can run on this route.","Only AirLink route apart from the Terminals Shuttle to go directly from Terminal 1 to Terminal 3https://scr.fandom.com/wiki/List_of_Routes/R058#:~:text=,go%20via%20%2016. Westbound service still stops at Terminal 2 because Terminal 1 is unidirectionalhttps://scr.fandom.com/wiki/List_of_Routes/R058#:~:text=,when%20trying%20to%20spawn%20a. Cannot spawn at Farleigh TMD Road 11https://scr.fandom.com/wiki/List_of_Routes/R058#:~:text=,at%20%2010%20Road%2011. One of two AirLink routes calling at Morganstownhttps://scr.fandom.com/wiki/List_of_Routes/R058#:~:text=,S. Considered cheaper alternative to Terminals Shuttle since it goes to Terminal 2 after Terminal 3 and terminates at Stepford Central, skipping Stepford Airport Parkwayhttps://scr.fandom.com/wiki/List_of_Routes/R058#:~:text=,also%20skips%20the%20latter%20station.",10.33 miles (16.62 km),6,0.46,R058 is an AirLink route from Stepford Central to Airport Terminal 3 via Airport Terminal 1. It is 10.33 miles long and takes around 13 minutes. It costs 450 points and is 3 minutes shorter than R055https://scr.fandom.com/wiki/List_of_Routes/R058#:~:text=R058%20is%20an%20AirLink%20,This%20route%20costs%20450%20Points.
R059,AirLink,Stepford Central,Airport Terminal 2,,approx. 13 minutes,Terminal 2 & 3 Link,1Sxx / 1Xxx,450,35,2.5,,,True,,"Introduced on 27 August 2022. Headcode 1Sxx/1Xxx. Route type Terminal 2 & 3 Link. Cost 450 Points. Spawn points Stepford Depot (A), Airport Parkway Depot, Airport Parkway Siding, Farleigh Depot Road 11 & 17. Calls at Stepford Central, St Helens Bridge, Elsemere Junction, Stepford Airport Parkway, Stepford Airport Central, and Airport Terminal 2. All AirLink trains except Class 345 can run on this routehttps://scr.fandom.com/wiki/List_of_Routes/R059#:~:text=History.","Only AirLink route terminating at Airport Terminal 2 that does not stop at Terminal 1 on an eastbound servicehttps://scr.fandom.com/wiki/List_of_Routes/R059#:~:text=,at%20Airport%20Terminal%202%20to. Only AirLink route terminating at Airport Terminal 2 to call at Stepford Airport Parkwayhttps://scr.fandom.com/wiki/List_of_Routes/R059#:~:text=,Airport%20Terminal%203. One of two AirLink routes terminating at an Airport Terminal and stopping at Stepford Airport Parkway (other being R055)https://scr.fandom.com/wiki/List_of_Routes/R059#:~:text=,Airport%20Terminal%203. One of two AirLink routes to call at Elsemere Junction; the other is R053https://scr.fandom.com/wiki/List_of_Routes/R059#:~:text=,S. Although classified as Terminal 2 & 3 Link, it does not call at Airport Terminal 3https://scr.fandom.com/wiki/List_of_Routes/R059#:~:text=,not%20call%20at%20%2043.",9.02 miles (14.43 km),6,0.43,R059 is an AirLink route between Stepford Central and Airport Terminal 2. It is 9.02 miles long and takes approximately 13 minutes. The route costs 450 points and does not stop at Airport Terminal 1 unlike R052 and R053https://scr.fandom.com/wiki/List_of_Routes/R059#:~:text=R059%20is%20an%20AirLink%20,route%20costs%20450%20%2011.
R060,AirLink,Stepford Airport Parkway,Airport Terminal 2,,9 minutes (to Terminal 2) or 5 minutes (to Stepford Airport Parkway),AirLink Shuttle,9Pxx / 9Xxx,0,"20 (to SAP), 30 (to SAX)","4.00 (to SAP), 3.33 (to SAX)",,,True,,"Introduced on 27 August 2022. Named Terminals Shuttle. Headcode 9Pxx/9Xxx. Route type AirLink Shuttle. Cost Free after purchasing the Class 345. Spawn points Airport Parkway Siding and Farleigh Depot (Road 11 & 17). Calls at Stepford Airport Parkway, Stepford Airport Central, Airport Terminal 1, Airport Terminal 3 and Airport Terminal 2. Only Class 345 can run this routehttps://scr.fandom.com/wiki/List_of_Routes/R060#:~:text=History.","Highest AirLink route numberhttps://scr.fandom.com/wiki/List_of_Routes/R060#:~:text=,This%20is%20the%20only%20route. Only route available on Class 345 and the only route to terminate at Stepford Airport Parkwayhttps://scr.fandom.com/wiki/List_of_Routes/R060#:~:text=,ends%20at%20Airport%20Terminal%203. Only route that switches ends at Airport Terminal 3https://scr.fandom.com/wiki/List_of_Routes/R060#:~:text=,switches%20ends%20at%20%2013. Only AirLink route that does not skip any stationshttps://scr.fandom.com/wiki/List_of_Routes/R060#:~:text=,does%20not%20skip%20any%20stations. Uses 9XXX headcode after Version 2.2 to differentiate from Port Benton headcodeshttps://scr.fandom.com/wiki/List_of_Routes/R060#:~:text=,trains%20with%20similar%20%2032. One of three routes allowing only one class of train (others: Stepford Connect R102 and Metro R137)https://scr.fandom.com/wiki/List_of_Routes/R060#:~:text=,36. Second named route not operated by Stepford Express; factoring in the cost of Class 345 (4,500 points) makes it the most expensive routehttps://scr.fandom.com/wiki/List_of_Routes/R060#:~:text=,35%20by%20250%20Points.",2.5 miles to Terminal 2 or 1.9 miles to Stepford Airport Parkway,"3 (to SAP), 5 (to SAX)","0.60 (to SAP), 0.56 (to SAX)","R060, the Terminals Shuttle, runs from Stepford Airport Parkway to Airport Terminal 2 via Stepford Airport Central, Terminal 1 and Terminal 3. It is 2.5 miles to Terminal 2 or 1.9 miles to Stepford Airport Parkway and takes roughly 9 or 5 minutes. The route is exclusive to the Class 345 and is unlocked upon purchasing that trainhttps://scr.fandom.com/wiki/List_of_Routes/R060#:~:text=R060%2C%20also%20known%20as%20the,to%20SAP%29%20to%20complete."
