route_code,operator,direction,origin,terminus,seq,station,stops,cumulative_minutes
R051,AirLink,down,Stepford Central,Stepford Airport Central,1,Stepford Central,True,0.0
R051,AirLink,down,Stepford Central,Stepford Airport Central,2,Stepford Airport Central,True,8.0
R051,AirLink,up,Stepford Airport Central,Stepford Central,1,Stepford Airport Central,True,0.0
R051,AirLink,up,Stepford Airport Central,Stepford Central,2,Stepford Central,True,7.0
R052,AirLink,down,Stepford Central,Airport Terminal 2,1,Stepford Central,True,0.0
R052,AirLink,down,Stepford Central,Airport Terminal 2,2,Stepford Airport Central,True,7.0
R052,AirLink,down,Stepford Central,Airport Terminal 2,3,Airport Terminal 1,True,8.0
R052,AirLink,down,Stepford Central,Airport Terminal 2,4,Airport Terminal 2,True,12.0
R052,AirLink,up,Airport Terminal 2,Stepford Central,1,Airport Terminal 2,True,0.0
R052,AirLink,up,Airport Terminal 2,Stepford Central,2,Airport Terminal 1,False,
R052,AirLink,up,Airport Terminal 2,Stepford Central,3,Stepford Airport Central,True,2.0
R052,AirLink,up,Airport Terminal 2,Stepford Central,4,Stepford Central,True,10.0
R053,AirLink,down,Stepford Central,Airport Terminal 2,1,Stepford Central,True,0.0
R053,AirLink,down,Stepford Central,Airport Terminal 2,2,Stepford East,True,1.0
R053,AirLink,down,Stepford Central,Airport Terminal 2,3,Elsemere Junction,True,4.0
R053,AirLink,down,Stepford Central,Airport Terminal 2,4,Morganstown,True,7.0
R053,AirLink,down,Stepford Central,Airport Terminal 2,5,Stepford Airport Central,True,10.0
R053,AirLink,down,Stepford Central,Airport Terminal 2,6,Airport Terminal 1,True,11.0
R053,AirLink,down,Stepford Central,Airport Terminal 2,7,Airport Terminal 2,True,15.0
R053,AirLink,up,Airport Terminal 2,Stepford Central,1,Airport Terminal 2,True,0.0
R053,AirLink,up,Airport Terminal 2,Stepford Central,2,Airport Terminal 1,False,
R053,AirLink,up,Airport Terminal 2,Stepford Central,3,Stepford Airport Central,True,2.0
R053,AirLink,up,Airport Terminal 2,Stepford Central,4,Morganstown,True,5.0
R053,AirLink,up,Airport Terminal 2,Stepford Central,5,Elsemere Junction,True,8.0
R053,AirLink,up,Airport Terminal 2,Stepford Central,6,Stepford East,True,11.0
R053,AirLink,up,Airport Terminal 2,Stepford Central,7,Stepford Central,True,13.0
R054,AirLink,down,Stepford Central,Stepford Airport Central,1,Stepford Central,True,0.0
R054,AirLink,down,Stepford Central,Stepford Airport Central,2,St Helens Bridge,True,2.0
R054,AirLink,down,Stepford Central,Stepford Airport Central,3,Berrily,True,5.0
R054,AirLink,down,Stepford Central,Stepford Airport Central,4,Stepford Airport Parkway,True,8.0
R054,AirLink,down,Stepford Central,Stepford Airport Central,5,Stepford Airport Central,True,10.0
R054,AirLink,up,Stepford Airport Central,Stepford Central,1,Stepford Airport Central,True,0.0
R054,AirLink,up,Stepford Airport Central,Stepford Central,2,Stepford Airport Parkway,True,2.0
R054,AirLink,up,Stepford Airport Central,Stepford Central,3,Berrily,False,
R054,AirLink,up,Stepford Airport Central,Stepford Central,4,St Helens Bridge,True,6.0
R054,AirLink,up,Stepford Airport Central,Stepford Central,5,Stepford Central,True,10.0
R055,AirLink,down,Stepford Central,Airport Terminal 3,1,Stepford Central,True,0.0
R055,AirLink,down,Stepford Central,Airport Terminal 3,2,Stepford East,True,2.0
R055,AirLink,down,Stepford Central,Airport Terminal 3,3,Stepford Airport Parkway,True,8.0
R055,AirLink,down,Stepford Central,Airport Terminal 3,4,Stepford Airport Central,True,10.0
R055,AirLink,down,Stepford Central,Airport Terminal 3,5,Airport Terminal 2,True,13.0
R055,AirLink,down,Stepford Central,Airport Terminal 3,6,Airport Terminal 3,True,15.0
R055,AirLink,up,Airport Terminal 3,Stepford Central,1,Airport Terminal 3,True,0.0
R055,AirLink,up,Airport Terminal 3,Stepford Central,2,Airport Terminal 2,True,2.0
R055,AirLink,up,Airport Terminal 3,Stepford Central,3,Stepford Airport Central,True,5.0
R055,AirLink,up,Airport Terminal 3,Stepford Central,4,Stepford Airport Parkway,True,7.0
R055,AirLink,up,Airport Terminal 3,Stepford Central,5,Stepford East,True,13.0
R055,AirLink,up,Airport Terminal 3,Stepford Central,6,Stepford Central,True,15.0
R056,AirLink,down,Stepford Airport Central,Leighton Stepford Road,1,Stepford Airport Central,True,0.0
R056,AirLink,down,Stepford Airport Central,Leighton Stepford Road,2,Stepford Airport Parkway,True,6.0
R056,AirLink,down,Stepford Airport Central,Leighton Stepford Road,3,Leighton Stepford Road,True,7.0
R056,AirLink,up,Leighton Stepford Road,Stepford Airport Central,1,Leighton Stepford Road,True,0.0
R056,AirLink,up,Leighton Stepford Road,Stepford Airport Central,2,Stepford Airport Parkway,True,2.0
